"""ds"",""y"""
"""2001-01-674"",369.7933853"
"""2001-01-675"",358.3617724"
"""2001-01-676"",348.9188517"
"""2001-01-677"",340.8976695"
"""2001-01-678"",333.9350179"
"""2001-01-679"",327.7873807"
"""2001-01-680"",322.2848862"
"""2001-01-681"",317.3049434"
"""2001-01-682"",312.7564808"
"""2001-01-683"",308.5701433"
"""2001-01-684"",304.6919729"
"""2001-01-685"",301.0792065"
"""2001-01-686"",297.6974019"
"""2001-01-687"",294.5184218"
"""2001-01-688"",291.5189906"
"""2001-01-689"",288.679638"
"""2001-01-690"",285.9839144"
"""2001-01-691"",283.417797"
"""2001-01-692"",280.969235"
"""2001-01-693"",278.6277959"
"""2001-01-694"",276.3843883"
"""2001-01-695"",274.2310405"
"""2001-01-696"",272.1607236"
"""2001-01-697"",270.1672081"
"""2001-01-698"",268.2449467"
"""2001-01-699"",266.3889778"
"""2001-01-700"",264.5948455"
"""2001-01-701"",825.3762346"
"""2001-01-702"",823.5276229"
"""2001-01-703"",821.6619864"
"""2001-01-704"",819.7789005"
"""2001-01-705"",817.8779245"
"""2001-01-706"",815.9586011"
"""2001-01-707"",814.0204549"
"""2001-01-708"",812.0629919"
"""2001-01-709"",810.0856983"
"""2001-01-710"",808.0880389"
"""2001-01-711"",806.069456"
"""2001-01-712"",804.029368"
"""2001-01-713"",801.9671678"
"""2001-01-714"",799.8822207"
"""2001-01-715"",797.7738626"
"""2001-01-716"",795.6413979"
"""2001-01-717"",793.484097"
"""2001-01-718"",791.3011934"
"""2001-01-719"",789.0918811"
"""2001-01-720"",786.8553108"
"""2001-01-721"",784.5905864"
"""2001-01-722"",782.2967609"
"""2001-01-723"",779.9728314"
"""2001-01-724"",777.617734"
"""2001-01-725"",775.2303379"
"""2001-01-726"",772.8094386"
"""2001-01-727"",770.3537504"
"""2001-01-728"",767.8618978"
"""2001-01-729"",765.332406"
"""2001-01-730"",762.7636896"
"""2001-01-731"",760.1540403"
"""2001-01-732"",757.5016126"
"""2001-01-733"",754.8044075"
"""2001-01-734"",752.0602535"
"""2001-01-735"",749.2667854"
"""2001-01-736"",746.4214193"
"""2001-01-737"",743.5213236"
"""2001-01-738"",740.5633855"
"""2001-01-739"",737.544172"
"""2001-01-740"",734.4598839"
"""2001-01-741"",731.3063013"
"""2001-01-742"",728.0787194"
"""2001-01-743"",724.7718718"
"""2001-01-744"",721.3798379"
"""2001-01-745"",717.8959313"
"""2001-01-746"",714.3125634"
"""2001-01-747"",710.6210759"
"""2001-01-748"",706.8115318"
"""2001-01-749"",702.872454"
"""2001-01-750"",698.7904936"
"""2001-01-751"",694.550002"
"""2001-01-752"",690.1324761"
"""2001-01-753"",685.5158224"
"""2001-01-754"",680.6733699"
"""2001-01-755"",675.5725178"
"""2001-01-756"",670.1728526"
"""2001-01-757"",664.4234553"
"""2001-01-758"",658.2589737"
"""2001-01-759"",651.5937265"
"""2001-01-760"",644.3125985"
"""2001-01-761"",636.2565604"
"""2001-01-762"",627.1989699"
"""2001-01-763"",616.8059867"
"""2001-01-764"",604.5708376"
"""2001-01-765"",589.7133549"
"""2001-01-766"",571.0700652"
"""2001-01-767"",547.0818534"
"""2001-01-768"",515.9470281"
"""2001-01-769"",478.2347314"
"""2001-01-770"",440.8985655"
"""2001-01-771"",410.7494067"
"""2001-01-772"",389.168279"
"""2001-01-773"",373.2263564"
"""2001-01-774"",360.8140297"
"""2001-01-775"",350.7281711"
"""2001-01-776"",342.2624831"
"""2001-01-777"",334.9788821"
"""2001-01-778"",328.5911929"
"""2001-01-779"",322.9039085"
"""2001-01-780"",317.7782987"
"""2001-01-781"",313.1127155"
"""2001-01-782"",308.8306275"
"""2001-01-783"",304.8730609"
"""2001-01-784"",301.193654"
"""2001-01-785"",297.7553236"
"""2001-01-786"",294.5279556"
"""2001-01-787"",291.4867678"
"""2001-01-788"",288.6111244"
"""2001-01-789"",285.8836604"
"""2001-01-790"",283.2896261"
"""2001-01-791"",280.8163858"
"""2001-01-792"",278.4530327"
"""2001-01-793"",276.1900858"
"""2001-01-794"",274.0192517"
"""2001-01-795"",271.9332334"
"""2001-01-796"",269.9255764"
"""2001-01-797"",267.9905432"
"""2001-01-798"",266.1230106"
"""2001-01-799"",264.3183844"
"""2001-01-800"",262.572529"
"""2001-01-801"",825.0233145"
"""2001-01-802"",823.1691421"
"""2001-01-803"",821.2977832"
"""2001-01-804"",819.4088062"
"""2001-01-805"",817.5017633"
"""2001-01-806"",815.5761893"
"""2001-01-807"",813.6316009"
"""2001-01-808"",811.6674956"
"""2001-01-809"",809.6833501"
"""2001-01-810"",807.6786197"
"""2001-01-811"",805.6527364"
"""2001-01-812"",803.6051076"
"""2001-01-813"",801.5351141"
"""2001-01-814"",799.4421088"
"""2001-01-815"",797.325414"
"""2001-01-816"",795.1843195"
"""2001-01-817"",793.0180801"
"""2001-01-818"",790.8259125"
"""2001-01-819"",788.6069924"
"""2001-01-820"",786.3604507"
"""2001-01-821"",784.08537"
"""2001-01-822"",781.78078"
"""2001-01-823"",779.4456524"
"""2001-01-824"",777.0788957"
"""2001-01-825"",774.6793485"
